Timestamp,Object Temperature (F),Ambient Temperature (F),Emissivity
2025-01-15 20:33:11,53,62,0.55
2025-01-15 20:33:12,54,61,0.55
2025-01-15 20:33:13,54,61,0.55
2025-01-15 20:33:14,54,61,0.55
2025-01-15 20:33:15,54,61,0.55
2025-01-15 20:33:16,54,61,0.55
2025-01-15 20:33:17,54,61,0.55
2025-01-15 20:33:18,55,61,0.55
2025-01-15 20:33:19,55,61,0.55
2025-01-15 20:33:20,55,61,0.55
2025-01-15 20:33:21,55,61,0.55
2025-01-15 20:33:22,54,61,0.55
2025-01-15 20:33:23,55,61,0.55
2025-01-15 20:33:24,56,61,0.55
2025-01-15 20:33:25,55,61,0.55
2025-01-15 20:33:26,55,61,0.55
2025-01-15 20:33:27,55,61,0.55
2025-01-15 20:33:28,54,61,0.55
2025-01-15 20:33:29,54,61,0.55
2025-01-15 20:33:30,54,61,0.55
2025-01-15 20:33:31,53,61,0.55
2025-01-15 20:33:32,54,61,0.55
2025-01-15 20:33:33,54,61,0.55
2025-01-15 20:33:34,54,61,0.55
2025-01-15 20:33:35,55,61,0.55
2025-01-15 20:33:36,54,61,0.55
2025-01-15 20:33:37,54,61,0.55
2025-01-15 20:33:38,54,62,0.55
2025-01-15 20:33:39,55,61,0.55
2025-01-15 20:33:40,54,62,0.55
2025-01-15 20:33:41,54,62,0.55
2025-01-15 20:33:42,54,62,0.55
2025-01-15 20:33:43,54,62,0.55
2025-01-15 20:33:44,55,62,0.55
2025-01-15 20:33:45,54,62,0.55
2025-01-15 20:33:46,54,62,0.55
2025-01-15 20:33:47,54,62,0.55
2025-01-15 20:33:48,54,62,0.55
2025-01-15 20:33:49,54,62,0.55
2025-01-15 20:33:50,54,62,0.55
2025-01-15 20:33:51,55,62,0.55
2025-01-15 20:33:52,55,62,0.55
2025-01-15 20:33:53,55,62,0.55
2025-01-15 20:33:54,55,62,0.55
2025-01-15 20:33:55,55,62,0.55
2025-01-15 20:33:56,54,62,0.55
2025-01-15 20:33:57,54,62,0.55
2025-01-15 20:33:58,54,62,0.55
2025-01-15 20:33:59,54,62,0.55
2025-01-15 20:34:00,54,62,0.55
2025-01-15 20:34:01,55,62,0.55
2025-01-15 20:34:02,55,62,0.55
2025-01-15 20:34:03,56,62,0.55
2025-01-15 20:34:04,55,62,0.55
2025-01-15 20:34:05,54,62,0.55
2025-01-15 20:34:06,55,62,0.55
2025-01-15 20:34:07,56,62,0.55
2025-01-15 20:34:08,65,62,0.55
2025-01-15 20:34:09,84,63,0.55
2025-01-15 20:34:10,65,64,0.55
2025-01-15 20:34:11,55,64,0.55
2025-01-15 20:34:12,51,64,0.55
2025-01-15 20:34:13,51,64,0.55
2025-01-15 20:34:14,53,64,0.55
2025-01-15 20:34:15,55,65,0.55
2025-01-15 20:34:16,67,65,0.55
2025-01-15 20:34:17,62,65,0.55
2025-01-15 20:34:18,54,66,0.55
2025-01-15 20:34:19,59,66,0.55
2025-01-15 20:34:20,56,66,0.55
2025-01-15 20:34:21,58,66,0.55
2025-01-15 20:34:22,61,66,0.55
2025-01-15 20:34:23,62,66,0.55
2025-01-15 20:34:24,55,67,0.55
2025-01-15 20:34:25,54,67,0.55
2025-01-15 20:34:26,55,67,0.55
2025-01-15 20:34:27,63,67,0.55
2025-01-15 20:34:28,57,67,0.55
2025-01-15 20:34:29,56,67,0.55
2025-01-15 20:34:30,56,67,0.55
2025-01-15 20:34:31,54,67,0.55
2025-01-15 20:34:32,51,67,0.55
2025-01-15 20:34:33,54,67,0.55
2025-01-15 20:34:34,52,67,0.55
2025-01-15 20:34:35,53,67,0.55
2025-01-15 20:34:36,53,67,0.55
2025-01-15 20:34:37,54,67,0.55
2025-01-15 20:34:38,55,67,0.55
2025-01-15 20:34:39,60,67,0.55
2025-01-15 20:34:40,60,68,0.55
2025-01-15 20:34:41,57,68,0.55
2025-01-15 20:34:42,55,68,0.55
2025-01-15 20:34:43,55,68,0.55
2025-01-15 20:34:44,57,68,0.55
2025-01-15 20:34:45,58,68,0.55
2025-01-15 20:34:46,57,68,0.55
2025-01-15 20:34:47,58,68,0.55
2025-01-15 20:34:48,58,68,0.55
2025-01-15 20:34:49,58,68,0.55
2025-01-15 20:34:50,61,68,0.55
2025-01-15 20:34:51,59,68,0.55
2025-01-15 20:34:52,59,68,0.55
2025-01-15 20:34:53,59,68,0.55
2025-01-15 20:34:54,58,68,0.55
2025-01-15 20:34:55,59,68,0.55
2025-01-15 20:34:56,60,68,0.55
2025-01-15 20:34:57,59,68,0.55
2025-01-15 20:34:58,59,68,0.55
2025-01-15 20:34:59,59,68,0.55
2025-01-15 20:35:00,60,68,0.55
2025-01-15 20:35:01,59,68,0.55
2025-01-15 20:35:02,60,68,0.55
2025-01-15 20:35:03,61,68,0.55
2025-01-15 20:35:04,61,68,0.55
2025-01-15 20:35:05,63,68,0.55
2025-01-15 20:35:06,64,68,0.55
2025-01-15 20:35:07,63,68,0.55
2025-01-15 20:35:08,63,68,0.55
2025-01-15 20:35:09,61,68,0.55
2025-01-15 20:35:10,61,68,0.55
2025-01-15 20:35:11,60,68,0.55
2025-01-15 20:35:12,62,68,0.55
2025-01-15 20:35:13,64,68,0.55
2025-01-15 20:35:14,64,68,0.55
2025-01-15 20:35:15,64,68,0.55
2025-01-15 20:35:16,63,68,0.55
2025-01-15 20:35:17,64,68,0.55
2025-01-15 20:35:18,64,68,0.55
2025-01-15 20:35:19,67,68,0.55
2025-01-15 20:35:20,68,68,0.55
2025-01-15 20:35:21,73,68,0.55
2025-01-15 20:35:22,74,68,0.55
2025-01-15 20:35:23,71,68,0.55
2025-01-15 20:35:24,72,68,0.55
2025-01-15 20:35:25,73,68,0.55
2025-01-15 20:35:26,75,68,0.55
2025-01-15 20:35:27,74,68,0.55
2025-01-15 20:35:28,70,68,0.55
2025-01-15 20:35:29,70,68,0.55
2025-01-15 20:35:30,84,68,0.55
2025-01-15 20:35:31,69,69,0.55
2025-01-15 20:35:32,66,69,0.55
2025-01-15 20:35:33,69,68,0.55
2025-01-15 20:35:34,71,68,0.55
2025-01-15 20:35:35,71,68,0.55
2025-01-15 20:35:36,71,68,0.55
2025-01-15 20:35:37,73,68,0.55
2025-01-15 20:35:38,72,68,0.55
2025-01-15 20:35:39,73,68,0.55
2025-01-15 20:35:40,73,68,0.55
2025-01-15 20:35:41,73,68,0.55
2025-01-15 20:35:42,74,68,0.55
2025-01-15 20:35:43,75,68,0.55
2025-01-15 20:35:44,77,68,0.55
2025-01-15 20:35:45,76,68,0.55
2025-01-15 20:35:46,75,68,0.55
2025-01-15 20:35:47,73,68,0.55
2025-01-15 20:35:48,75,68,0.55
2025-01-15 20:35:49,76,68,0.55
2025-01-15 20:35:50,76,68,0.55
2025-01-15 20:35:51,78,68,0.55
2025-01-15 20:35:52,76,68,0.55
2025-01-15 20:35:53,77,68,0.55
2025-01-15 20:35:54,78,68,0.55
2025-01-15 20:35:55,76,67,0.55
2025-01-15 20:35:56,77,67,0.55
2025-01-15 20:35:57,77,67,0.55
2025-01-15 20:35:58,77,67,0.55
2025-01-15 20:35:59,77,67,0.55
2025-01-15 20:36:00,76,67,0.55
2025-01-15 20:36:01,78,67,0.55
2025-01-15 20:36:02,79,67,0.55
2025-01-15 20:36:03,78,67,0.55
2025-01-15 20:36:04,79,67,0.55
2025-01-15 20:36:05,79,67,0.55
2025-01-15 20:36:06,80,67,0.55
2025-01-15 20:36:07,79,67,0.55
2025-01-15 20:36:08,79,67,0.55
2025-01-15 20:36:09,79,67,0.55
2025-01-15 20:36:10,79,67,0.55
2025-01-15 20:36:11,79,67,0.55
2025-01-15 20:36:12,80,67,0.55
2025-01-15 20:36:13,81,67,0.55
2025-01-15 20:36:14,81,67,0.55
2025-01-15 20:36:15,85,67,0.55
2025-01-15 20:36:16,84,67,0.55
2025-01-15 20:36:17,86,67,0.55
2025-01-15 20:36:18,89,67,0.55
2025-01-15 20:36:19,90,67,0.55
2025-01-15 20:36:20,90,67,0.55
2025-01-15 20:36:21,88,67,0.55
2025-01-15 20:36:22,89,67,0.55
2025-01-15 20:36:23,89,67,0.55
2025-01-15 20:36:24,88,67,0.55
2025-01-15 20:36:25,90,67,0.55
2025-01-15 20:36:26,91,67,0.55
2025-01-15 20:36:27,92,67,0.55
2025-01-15 20:36:28,93,67,0.55
2025-01-15 20:36:29,93,67,0.55
2025-01-15 20:36:30,94,68,0.55
2025-01-15 20:36:31,93,68,0.55
2025-01-15 20:36:32,92,68,0.55
2025-01-15 20:36:33,92,68,0.55
2025-01-15 20:36:34,93,68,0.55
2025-01-15 20:36:35,92,68,0.55
2025-01-15 20:36:36,96,68,0.55
2025-01-15 20:36:37,95,68,0.55
2025-01-15 20:36:38,94,68,0.55
2025-01-15 20:36:39,95,68,0.55
2025-01-15 20:36:40,95,68,0.55
2025-01-15 20:36:41,96,68,0.55
2025-01-15 20:36:42,96,68,0.55
2025-01-15 20:36:44,95,68,0.55
2025-01-15 20:36:45,97,68,0.55
2025-01-15 20:36:46,97,68,0.55
2025-01-15 20:36:47,97,68,0.55
2025-01-15 20:36:48,98,68,0.55
2025-01-15 20:36:49,100,68,0.55
2025-01-15 20:36:50,99,68,0.55
2025-01-15 20:36:51,101,68,0.55
2025-01-15 20:36:52,105,68,0.55
2025-01-15 20:36:53,105,69,0.55
2025-01-15 20:36:54,107,69,0.55
2025-01-15 20:36:55,109,69,0.55
2025-01-15 20:36:56,109,69,0.55
2025-01-15 20:36:57,111,69,0.55
2025-01-15 20:36:58,111,69,0.55
2025-01-15 20:36:59,112,69,0.55
2025-01-15 20:37:00,112,70,0.55
2025-01-15 20:37:01,113,70,0.55
2025-01-15 20:37:02,113,70,0.55
2025-01-15 20:37:03,112,70,0.55
2025-01-15 20:37:04,114,70,0.55
2025-01-15 20:37:05,115,70,0.55
2025-01-15 20:37:06,116,70,0.55
2025-01-15 20:37:07,119,70,0.55
2025-01-15 20:37:08,119,70,0.55
2025-01-15 20:37:09,118,70,0.55
2025-01-15 20:37:10,120,71,0.55
2025-01-15 20:37:11,120,71,0.55
2025-01-15 20:37:12,121,71,0.55
2025-01-15 20:37:13,123,71,0.55
2025-01-15 20:37:14,124,71,0.55
2025-01-15 20:37:15,125,71,0.55
2025-01-15 20:37:16,126,71,0.55
2025-01-15 20:37:17,128,72,0.55
2025-01-15 20:37:18,129,72,0.55
2025-01-15 20:37:19,130,72,0.55
2025-01-15 20:37:20,130,72,0.55
2025-01-15 20:37:21,133,72,0.55
2025-01-15 20:37:22,133,72,0.55
2025-01-15 20:37:23,135,73,0.55
2025-01-15 20:37:24,136,73,0.55
2025-01-15 20:37:25,134,73,0.55
2025-01-15 20:37:26,135,73,0.55
2025-01-15 20:37:27,136,73,0.55
2025-01-15 20:37:28,137,73,0.55
2025-01-15 20:37:29,138,73,0.55
2025-01-15 20:37:30,141,74,0.55
2025-01-15 20:37:31,142,74,0.55
2025-01-15 20:37:32,144,74,0.55
2025-01-15 20:37:33,143,74,0.55
2025-01-15 20:37:34,142,75,0.55
2025-01-15 20:37:35,142,75,0.55
2025-01-15 20:37:36,143,75,0.55
2025-01-15 20:37:37,144,75,0.55
2025-01-15 20:37:38,142,75,0.55
2025-01-15 20:37:39,140,75,0.55
2025-01-15 20:37:40,138,75,0.55
2025-01-15 20:37:41,138,75,0.55
2025-01-15 20:37:42,141,76,0.55
2025-01-15 20:37:43,141,76,0.55
2025-01-15 20:37:44,141,76,0.55
2025-01-15 20:37:45,136,76,0.55
2025-01-15 20:37:46,140,76,0.55
2025-01-15 20:37:47,142,76,0.55
2025-01-15 20:37:48,144,76,0.55
2025-01-15 20:37:49,143,76,0.55
2025-01-15 20:37:50,145,76,0.55
2025-01-15 20:37:51,144,76,0.55
2025-01-15 20:37:52,149,77,0.55
2025-01-15 20:37:53,151,77,0.55
2025-01-15 20:37:54,149,77,0.55
2025-01-15 20:37:55,150,77,0.55
2025-01-15 20:37:56,150,78,0.55
2025-01-15 20:37:57,151,78,0.55
2025-01-15 20:37:58,150,78,0.55
2025-01-15 20:37:59,150,78,0.55
2025-01-15 20:38:00,152,79,0.55
2025-01-15 20:38:01,151,79,0.55
2025-01-15 20:38:02,151,79,0.55
2025-01-15 20:38:03,152,79,0.55
2025-01-15 20:38:04,152,79,0.55
2025-01-15 20:38:05,153,79,0.55
2025-01-15 20:38:06,153,80,0.55
2025-01-15 20:38:07,153,80,0.55
2025-01-15 20:38:08,144,80,0.55
2025-01-15 20:38:09,141,80,0.55
2025-01-15 20:38:10,139,80,0.55
2025-01-15 20:38:11,138,80,0.55
2025-01-15 20:38:12,142,80,0.55
2025-01-15 20:38:13,73,80,0.55
2025-01-15 20:38:14,28,80,0.55
2025-01-15 20:38:15,28,80,0.55
2025-01-15 20:38:16,28,80,0.55
2025-01-15 20:38:17,29,80,0.55
2025-01-15 20:38:18,28,80,0.55
2025-01-15 20:38:19,29,79,0.55
2025-01-15 20:38:20,29,79,0.55
2025-01-15 20:38:21,30,79,0.55
2025-01-15 20:38:22,31,79,0.55
2025-01-15 20:38:23,31,79,0.55
2025-01-15 20:38:24,31,79,0.55
2025-01-15 20:38:25,31,79,0.55
2025-01-15 20:38:26,31,79,0.55
2025-01-15 20:38:27,32,78,0.55
2025-01-15 20:38:28,32,78,0.55
2025-01-15 20:38:29,32,78,0.55
2025-01-15 20:38:30,31,78,0.55
2025-01-15 20:38:31,31,78,0.55
2025-01-15 20:38:32,33,78,0.55
2025-01-15 20:38:33,35,78,0.55
2025-01-15 20:38:34,34,78,0.55
2025-01-15 20:38:35,33,77,0.55
2025-01-15 20:38:36,33,77,0.55
2025-01-15 20:38:37,33,77,0.55
2025-01-15 20:38:38,33,77,0.55
2025-01-15 20:38:39,34,77,0.55
2025-01-15 20:38:40,35,77,0.55
2025-01-15 20:38:41,35,77,0.55
2025-01-15 20:38:42,34,77,0.55
2025-01-15 20:38:43,34,77,0.55
2025-01-15 20:38:44,34,77,0.55
2025-01-15 20:38:45,34,76,0.55
2025-01-15 20:38:46,34,76,0.55
2025-01-15 20:38:47,35,76,0.55
2025-01-15 20:38:48,34,76,0.55
2025-01-15 20:38:49,36,76,0.55
2025-01-15 20:38:50,35,76,0.55
2025-01-15 20:38:51,37,76,0.55
2025-01-15 20:38:52,37,76,0.55
2025-01-15 20:38:53,36,76,0.55
2025-01-15 20:38:54,36,76,0.55
2025-01-15 20:38:55,36,76,0.55
2025-01-15 20:38:56,36,76,0.55
2025-01-15 20:38:57,38,76,0.55
2025-01-15 20:38:58,38,75,0.55
2025-01-15 20:38:59,37,75,0.55
2025-01-15 20:39:00,38,75,0.55
2025-01-15 20:39:01,38,75,0.55
2025-01-15 20:39:02,38,75,0.55
2025-01-15 20:39:03,39,75,0.55
2025-01-15 20:39:04,39,75,0.55
2025-01-15 20:39:05,38,75,0.55
2025-01-15 20:39:06,38,75,0.55
2025-01-15 20:39:07,38,75,0.55
2025-01-15 20:39:08,38,75,0.55
2025-01-15 20:39:09,38,75,0.55
2025-01-15 20:39:10,37,75,0.55
2025-01-15 20:39:11,38,75,0.55
2025-01-15 20:39:12,39,75,0.55
2025-01-15 20:39:13,39,75,0.55
2025-01-15 20:39:14,39,75,0.55
2025-01-15 20:39:15,38,75,0.55
2025-01-15 20:39:16,37,75,0.55
2025-01-15 20:39:17,39,75,0.55
2025-01-15 20:39:18,40,75,0.55
2025-01-15 20:39:19,40,75,0.55
2025-01-15 20:39:20,39,75,0.55
2025-01-15 20:39:21,37,75,0.55
2025-01-15 20:39:22,34,75,0.55
2025-01-15 20:39:23,54,74,0.55
2025-01-15 20:39:24,60,74,0.55
2025-01-15 20:39:25,61,74,0.55
2025-01-15 20:39:26,60,74,0.55
2025-01-15 20:39:27,64,74,0.55
2025-01-15 20:39:28,65,74,0.55
2025-01-15 20:39:29,58,74,0.55
2025-01-15 20:39:30,66,74,0.55
2025-01-15 20:39:31,71,74,0.55
2025-01-15 20:39:32,58,73,0.55
2025-01-15 20:39:33,61,73,0.55
2025-01-15 20:39:34,64,73,0.55
2025-01-15 20:39:35,71,73,0.55
2025-01-15 20:39:36,71,73,0.55
2025-01-15 20:39:37,72,73,0.55
2025-01-15 20:39:38,73,73,0.55
2025-01-15 20:39:39,74,73,0.55
2025-01-15 20:39:40,75,73,0.55
2025-01-15 20:39:41,76,73,0.55
2025-01-15 20:39:42,76,73,0.55
2025-01-15 20:39:43,76,73,0.55
2025-01-15 20:39:44,76,73,0.55
2025-01-15 20:39:45,76,73,0.55
2025-01-15 20:39:46,77,73,0.55
2025-01-15 20:39:47,79,73,0.55
2025-01-15 20:39:48,77,73,0.55
2025-01-15 20:39:49,77,73,0.55
2025-01-15 20:39:50,77,73,0.55
2025-01-15 20:39:51,76,73,0.55
2025-01-15 20:39:52,78,73,0.55
